algorithm,metric,feature_name,feature_value,shapley_value
inductive,benchtime,saq1,3576,-889.8183333333333
inductive,benchtime,aq1,7992,1750.2749999999999
inductive,benchtime,ekbr3,146,-838.2100000000002
inductive,benchtime,tlkh,-097,-880.495
inductive,benchtime,aq1,7992,1573.1500000000003
inductive,benchtime,ekbr3,146,-816.1300000000002
inductive,benchtime,tlv,5551,-712.4300000000002
inductive,benchtime,ekbr3,00,-803.8100000000001
inductive,benchtime,nusa,211,1639.25
inductive,benchtime,rt5v,00,-808.7600000000001
inductive,benchtime,ekbr3,00,-821.5466666666665
inductive,benchtime,nusa,211,1629.2283333333332
inductive,benchtime,svo,959,-798.9516666666665
inductive,benchtime,ekbr3,00,-822.8416666666667
inductive,benchtime,nusa,211,1636.4233333333334
inductive,benchtime,svo,1362,-806.2816666666666
inductive,benchtime,aq1,7992,1740.97
inductive,benchtime,ekbr3,097,-867.9350000000001
inductive,benchtime,svo,1765,-847.605
inductive,benchtime,aq1,10,2.7833333333333337
inductive,benchtime,rt5v,00,3.2133333333333334
inductive,benchtime,svo,154,-0.6366666666666664
inductive,benchtime,ekbr3,00,-822.5999999999999
inductive,benchtime,nusa,211,1636.42
inductive,benchtime,svo,1765,-803.5799999999999
inductive,benchtime,aq1,10,-11.174999999999999
inductive,benchtime,rt5v,00,9.935
inductive,benchtime,svo,355,5.739999999999999
inductive,benchtime,aq1,10,2.253333333333333
inductive,benchtime,rt5v,00,-0.7216666666666663
inductive,benchtime,svo,758,2.678333333333334
inductive,benchtime,aq1,10,-5.285000000000001
inductive,benchtime,rt5v,00,-8.17
inductive,benchtime,svo,959,15.905000000000001
inductive,benchtime,aq1,7992,1627.735
inductive,benchtime,ekbr3,437,-610.005
inductive,benchtime,svo,758,-979.9000000000002
inductive,benchtime,aq1,7992,1620.5000000000002
inductive,benchtime,ekbr3,437,-603.13
inductive,benchtime,svo,959,-959.0899999999998
inductive,benchtime,ekbr3,00,-797.8166666666666
inductive,benchtime,nusa,211,1611.2683333333332
inductive,benchtime,tlkh,-097,-804.9716666666665
inductive,benchtime,aq1,7992,1685.7133333333334
inductive,benchtime,ekbr3,437,-544.0366666666666
inductive,benchtime,tlkh,437,-850.8166666666666
inductive,benchtime,aq1,10,6.196666666666665
inductive,benchtime,rt5v,00,-15.798333333333332
inductive,benchtime,svo,1765,16.201666666666668
inductive,benchtime,ekbr3,00,-862.6466666666665
inductive,benchtime,nusa,211,1660.123333333333
inductive,benchtime,tlv,2776,-774.7466666666666
inductive,benchtime,ekbr3,00,-5.493333333333335
inductive,benchtime,nusa,322,5.691666666666666
inductive,benchtime,rt5v,00,3.071666666666667
inductive,benchtime,aq1,10,52.95333333333334
inductive,benchtime,rt5v,00,52.90833333333333
inductive,benchtime,tlkh,-097,50.098333333333336
inductive,benchtime,ekbr3,00,0.05833333333333357
inductive,benchtime,nusa,322,14.593333333333332
inductive,benchtime,svo,154,8.468333333333335
inductive,benchtime,ekbr3,00,0.6766666666666667
inductive,benchtime,nusa,322,4.741666666666667
inductive,benchtime,svo,355,1.2716666666666663
inductive,benchtime,aq1,10,-0.125
inductive,benchtime,ekbr3,049,4.755
inductive,benchtime,tlv,2776,16.939999999999998
inductive,benchtime,aq1,7992,1750.7750000000003
inductive,benchtime,ekbr3,097,-880.765
inductive,benchtime,saq1,10527,-860.3100000000001
inductive,benchtime,ekbr3,00,17.62
inductive,benchtime,nusa,322,30.200000000000006
inductive,benchtime,svo,1161,30.819999999999997
inductive,benchtime,aq1,10,-3.0733333333333337
inductive,benchtime,rt5v,00,-2.2533333333333325
inductive,benchtime,tlv,2776,5.936666666666667
inductive,benchtime,ekbr3,00,2.1450000000000005
inductive,benchtime,nusa,322,24.054999999999996
inductive,benchtime,svo,1362,26.74
inductive,benchtime,ekbr3,00,-10.043333333333335
inductive,benchtime,nusa,322,9.176666666666666
inductive,benchtime,svo,1765,14.566666666666668
inductive,benchtime,ekbr3,00,19.509999999999994
inductive,benchtime,nusa,322,4.335
inductive,benchtime,tlkh,437,71.72500000000001
inductive,benchtime,saq1,7052,127.22666666666669
inductive,benchtime,tlkh,437,-52.87833333333333
inductive,benchtime,tlv,5551,10.101666666666688
inductive,benchtime,saq1,7052,201.58333333333337
inductive,benchtime,tlkh,437,20.533333333333342
inductive,benchtime,tlv,11103,66.92333333333333
inductive,benchtime,aq1,12727,-16.428333333333338
inductive,benchtime,svo,154,-31.46333333333334
inductive,benchtime,saq1,2443,49.03166666666667
inductive,benchtime,aq1,12727,16.28
inductive,benchtime,svo,154,-24.095
inductive,benchtime,saq1,27906,28.515
inductive,benchtime,ekbr3,00,-8.661666666666667
inductive,benchtime,nusa,433,10.528333333333332
inductive,benchtime,rt5v,00,0.8833333333333334
inductive,benchtime,aq1,12727,15.408333333333333
inductive,benchtime,svo,154,-7.541666666666662
inductive,benchtime,tlkh,437,80.50333333333334
inductive,benchtime,ekbr3,00,0.6150000000000002
inductive,benchtime,nusa,433,9.94
inductive,benchtime,svo,355,-0.5549999999999996
inductive,benchtime,aq1,12727,-121.19
inductive,benchtime,svo,154,-138.5
inductive,benchtime,tlv,1943,262.93
inductive,benchtime,ekbr3,00,-42.03
inductive,benchtime,nusa,433,35.21
inductive,benchtime,saq1,10527,22.870000000000005
inductive,benchtime,aq1,7992,1756.7716666666665
inductive,benchtime,rt5v,023,-868.9133333333333
inductive,benchtime,svo,154,-856.7083333333334
inductive,benchtime,aq1,7992,1741.3966666666665
inductive,benchtime,rt5v,023,-873.8433333333334
inductive,benchtime,saq1,3576,-863.4533333333333
inductive,benchtime,aq1,7992,1747.005
inductive,benchtime,rt5v,023,-878.3649999999999
inductive,benchtime,saq1,10527,-858.41
inductive,benchtime,aq1,12727,-121.15333333333332
inductive,benchtime,svo,355,-137.30333333333334
inductive,benchtime,tlv,1943,262.57666666666665
inductive,benchtime,aq1,7992,1759.3516666666665
inductive,benchtime,svo,154,-857.0133333333332
inductive,benchtime,saq1,3576,-858.8283333333333
inductive,benchtime,aq1,7992,1734.2750000000003
inductive,benchtime,svo,154,-885.7299999999999
inductive,benchtime,saq1,2443,-820.1149999999999
inductive,benchtime,aq1,7992,1754.6366666666663
inductive,benchtime,svo,154,-860.6683333333332
inductive,benchtime,saq1,27906,-852.9783333333335
inductive,benchtime,aq1,7992,1753.5
inductive,benchtime,svo,154,-857.5750000000002
inductive,benchtime,tlkh,-097,-869.2049999999998
inductive,benchtime,aq1,7992,1759.2583333333332
inductive,benchtime,svo,154,-857.5516666666664
inductive,benchtime,tlkh,437,-795.4966666666666
inductive,benchtime,aq1,7992,1671.738333333333
inductive,benchtime,svo,154,-893.9216666666665
inductive,benchtime,tlv,16654,-737.1166666666667
inductive,benchtime,aq1,7992,1756.0216666666668
inductive,benchtime,svo,355,-859.5033333333336
inductive,benchtime,saq1,3576,-855.7783333333333
inductive,benchtime,aq1,7992,1766.3700000000001
inductive,benchtime,svo,355,-864.7200000000003
inductive,benchtime,saq1,10527,-851.43
inductive,benchtime,aq1,7992,1742.1516666666666
inductive,benchtime,svo,355,-867.3283333333335
inductive,benchtime,saq1,17479,-855.5733333333332
inductive,benchtime,aq1,7992,1730.7716666666665
inductive,benchtime,svo,355,-888.3633333333337
inductive,benchtime,saq1,2443,-817.2083333333335
inductive,benchtime,aq1,7992,1746.7166666666665
inductive,benchtime,svo,355,-864.5883333333336
inductive,benchtime,saq1,27906,-851.3583333333336
inductive,benchtime,aq1,7992,1817.3249999999998
inductive,benchtime,svo,355,-799.1100000000001
inductive,benchtime,tlkh,437,-731.515
inductive,benchtime,aq1,7992,1664.5416666666667
inductive,benchtime,svo,355,-895.3983333333334
inductive,benchtime,tlv,16654,-733.0533333333333
inductive,benchtime,aq1,7992,1745.4583333333337
inductive,benchtime,svo,758,-861.1666666666669
inductive,benchtime,saq1,3576,-861.9216666666665
inductive,benchtime,aq1,7992,1746.8266666666668
inductive,benchtime,svo,758,-864.1633333333333
inductive,benchtime,saq1,27906,-855.4133333333333
inductive,benchtime,aq1,7992,1738.4166666666667
inductive,benchtime,svo,758,-845.1033333333336
inductive,benchtime,tlkh,-097,-855.6733333333333
inductive,benchtime,aq1,7992,1702.0783333333331
inductive,benchtime,svo,758,-908.3966666666666
inductive,benchtime,tlv,5551,-772.9816666666667
inductive,benchtime,aq1,7992,1765.2816666666668
inductive,benchtime,svo,758,-937.8683333333335
inductive,benchtime,tlv,16654,-780.0033333333332
inductive,benchtime,aq1,7992,1742.9483333333337
inductive,benchtime,svo,959,-854.8966666666665
inductive,benchtime,saq1,10527,-860.0216666666669
inductive,benchtime,aq1,7992,1724.9466666666667
inductive,benchtime,svo,959,-840.5233333333334
inductive,benchtime,saq1,17479,-847.1833333333333
inductive,benchtime,aq1,7992,1722.9866666666667
inductive,benchtime,svo,959,-864.1333333333333
inductive,benchtime,saq1,2443,-811.3933333333334
inductive,benchtime,saq1,10527,5.108333333333333
inductive,benchtime,tlkh,-097,3.478333333333333
inductive,benchtime,tlv,2776,19.003333333333334
inductive,benchtime,aq1,7992,1752.92
inductive,benchtime,svo,959,-925.0549999999998
inductive,benchtime,tlv,16654,-781.125
inductive,benchtime,saq1,10527,-117.61666666666666
inductive,benchtime,tlkh,-097,27.55333333333333
inductive,benchtime,tlv,16654,104.24333333333333
inductive,benchtime,aq1,10,42.81666666666666
inductive,benchtime,rt5v,023,43.99666666666668
inductive,benchtime,svo,154,-83.06333333333333
inductive,benchtime,aq1,7992,1622.3816666666664
inductive,benchtime,svo,1563,-569.1933333333333
inductive,benchtime,tlkh,-097,-1017.4483333333334
inductive,benchtime,aq1,7992,1621.216666666667
